Results of time measurment: 

Picture: 720x486, filter: 4, threads: 1, time: 0 [s] 49694415 [ns]
Picture: 720x486, filter: 4, threads: 2, time: 0 [s] 35557651 [ns]
Picture: 720x486, filter: 4, threads: 4, time: 0 [s] 23412748 [ns]
Picture: 720x486, filter: 4, threads: 8, time: 0 [s] 24174787 [ns]
Picture: 720x486, filter: 8, threads: 1, time: 0 [s] 228996708 [ns]
Picture: 720x486, filter: 8, threads: 2, time: 0 [s] 135015565 [ns]
Picture: 720x486, filter: 8, threads: 4, time: 0 [s] 117044494 [ns]
Picture: 720x486, filter: 8, threads: 8, time: 0 [s] 119072410 [ns]
Picture: 720x486, filter: 16, threads: 1, time: 1 [s] 90530234 [ns]
Picture: 720x486, filter: 16, threads: 2, time: 0 [s] 593983769 [ns]
Picture: 720x486, filter: 16, threads: 4, time: 0 [s] 548497080 [ns]
Picture: 720x486, filter: 16, threads: 8, time: 0 [s] 544318467 [ns]
Picture: 720x486, filter: 32, threads: 1, time: 4 [s] 572021386 [ns]
Picture: 720x486, filter: 32, threads: 2, time: 2 [s] 338216068 [ns]
Picture: 720x486, filter: 32, threads: 4, time: 2 [s] 258113655 [ns]
Picture: 720x486, filter: 32, threads: 8, time: 2 [s] 266381519 [ns]
Picture: 720x486, filter: 64, threads: 1, time: 18 [s] 39141058 [ns]
Picture: 720x486, filter: 64, threads: 2, time: 9 [s] 416028063 [ns]
Picture: 720x486, filter: 64, threads: 4, time: 9 [s] 218216409 [ns]
Picture: 720x486, filter: 64, threads: 8, time: 9 [s] 234083565 [ns]
Picture: 800x800, filter: 4, threads: 1, time: 0 [s] 87548029 [ns]
Picture: 800x800, filter: 4, threads: 2, time: 0 [s] 50895619 [ns]
Picture: 800x800, filter: 4, threads: 4, time: 0 [s] 42881453 [ns]
Picture: 800x800, filter: 4, threads: 8, time: 0 [s] 46718189 [ns]
Picture: 800x800, filter: 8, threads: 1, time: 0 [s] 425437698 [ns]
Picture: 800x800, filter: 8, threads: 2, time: 0 [s] 223426501 [ns]
Picture: 800x800, filter: 8, threads: 4, time: 0 [s] 212433878 [ns]
Picture: 800x800, filter: 8, threads: 8, time: 0 [s] 216978425 [ns]
Picture: 800x800, filter: 16, threads: 1, time: 1 [s] 992010121 [ns]
Picture: 800x800, filter: 16, threads: 2, time: 1 [s] 45722572 [ns]
Picture: 800x800, filter: 16, threads: 4, time: 0 [s] 985788319 [ns]
Picture: 800x800, filter: 16, threads: 8, time: 0 [s] 987001005 [ns]
Picture: 800x800, filter: 32, threads: 1, time: 8 [s] 170034432 [ns]
Picture: 800x800, filter: 32, threads: 2, time: 4 [s] 249056970 [ns]
Picture: 800x800, filter: 32, threads: 4, time: 4 [s] 113745572 [ns]
Picture: 800x800, filter: 32, threads: 8, time: 4 [s] 105948806 [ns]
Picture: 800x800, filter: 64, threads: 1, time: 33 [s] 88410181 [ns]
Picture: 800x800, filter: 64, threads: 2, time: 17 [s] 167425675 [ns]
Picture: 800x800, filter: 64, threads: 4, time: 16 [s] 785216146 [ns]
Picture: 800x800, filter: 64, threads: 8, time: 16 [s] 731861157 [ns]
Picture: 512x512, filter: 4, threads: 1, time: 0 [s] 36144850 [ns]
Picture: 512x512, filter: 4, threads: 2, time: 0 [s] 27512781 [ns]
Picture: 512x512, filter: 4, threads: 4, time: 0 [s] 18192303 [ns]
Picture: 512x512, filter: 4, threads: 8, time: 0 [s] 19703707 [ns]
Picture: 512x512, filter: 8, threads: 1, time: 0 [s] 171139926 [ns]
Picture: 512x512, filter: 8, threads: 2, time: 0 [s] 98128917 [ns]
Picture: 512x512, filter: 8, threads: 4, time: 0 [s] 87510034 [ns]
Picture: 512x512, filter: 8, threads: 8, time: 0 [s] 96680954 [ns]
Picture: 512x512, filter: 16, threads: 1, time: 0 [s] 813593573 [ns]
Picture: 512x512, filter: 16, threads: 2, time: 0 [s] 438899727 [ns]
Picture: 512x512, filter: 16, threads: 4, time: 0 [s] 403115746 [ns]
Picture: 512x512, filter: 16, threads: 8, time: 0 [s] 405170655 [ns]
Picture: 512x512, filter: 32, threads: 1, time: 3 [s] 347753010 [ns]
Picture: 512x512, filter: 32, threads: 2, time: 1 [s] 758741384 [ns]
Picture: 512x512, filter: 32, threads: 4, time: 1 [s] 758272068 [ns]
Picture: 512x512, filter: 32, threads: 8, time: 1 [s] 727293522 [ns]
Picture: 512x512, filter: 64, threads: 1, time: 13 [s] 944833705 [ns]
Picture: 512x512, filter: 64, threads: 2, time: 7 [s] 359190623 [ns]
Picture: 512x512, filter: 64, threads: 4, time: 7 [s] 236310394 [ns]
Picture: 512x512, filter: 64, threads: 8, time: 6 [s] 860464801 [ns]
Picture: 640x480, filter: 4, threads: 1, time: 0 [s] 41973045 [ns]
Picture: 640x480, filter: 4, threads: 2, time: 0 [s] 35210462 [ns]
Picture: 640x480, filter: 4, threads: 4, time: 0 [s] 20968926 [ns]
Picture: 640x480, filter: 4, threads: 8, time: 0 [s] 22207309 [ns]
Picture: 640x480, filter: 8, threads: 1, time: 0 [s] 200831375 [ns]
Picture: 640x480, filter: 8, threads: 2, time: 0 [s] 114884869 [ns]
Picture: 640x480, filter: 8, threads: 4, time: 0 [s] 102667206 [ns]
Picture: 640x480, filter: 8, threads: 8, time: 0 [s] 104268815 [ns]
Picture: 640x480, filter: 16, threads: 1, time: 0 [s] 962495299 [ns]
Picture: 640x480, filter: 16, threads: 2, time: 0 [s] 526650325 [ns]
Picture: 640x480, filter: 16, threads: 4, time: 0 [s] 473654573 [ns]
Picture: 640x480, filter: 16, threads: 8, time: 0 [s] 473510604 [ns]
Picture: 640x480, filter: 32, threads: 1, time: 3 [s] 923896129 [ns]
Picture: 640x480, filter: 32, threads: 2, time: 2 [s] 114296851 [ns]
Picture: 640x480, filter: 32, threads: 4, time: 2 [s] 41130901 [ns]
